Token,Frequency
غاديين,2
رايهم,2
اسمنا,2
عطاك,2
يسعى,2
رمضانكم,2
قلي,2
شان,2
زيقو,2
3000,2
متر,2
خرجوا,2
نريحو,2
130,2
بيض,2
داوها,2
يصيد,2
موسطاش,2
باغاي,2
شرعي,2
طبيب,2
سلاح,2
دايها,2
جيلية,2
باركينق,2
فيف,2
نخسر,2
تسوى,2
يتجمعو,2
للحراك,2
ترونكيل,2
نيبان,2
سكت,2
علمي,2
كابيني,2
لابس,2
سفيان,2
ينورك,2
شاعر,2
قصبة,2
إبراهيم,2
بونا,2
بلاوي,2
اهل,2
عبدق,2
بينا,2
يطول,2
حراك,2
كتب,2
حطها,2
تصويرة,2
خلا,2
كلمات,2
قصيدة,2
تشوفوا,2
هاتولي,2
جبتي,2
الصاك,2
تتزعبل,2
ذراعها,2
جولي,2
بال,2
هاها,2
همة,2
سعد,2
خونا,2
يرحمهم,2
10000,2
كلم,2
منزعف,2
الحمري,2
شيكاغو,2
الرصاص,2
يعايط,2
راهمش,2
نشوفه,2
يكتب,2
آها,2
ليكيب,2
قوتي,2
لعمر,2
مصفارة,2
زهرة,2
وسقساه,2
العلك,2
اياك,2
بس,2
فشل,2
تعبنا,2
نخدموا,2
ضوي,2
فيلاج,2
يضربونا,2
اسمعتي,2
الشعر,2
نخبرك,2
لأرض,2
شوابين,2
قالت,2
يانا,2
البوليسيا,2
آه,2
بمشروع,2
ألي,2
رايك,2
حضارة,2
لياس,2
حمري,2
بسلاما,2
يبغيك,2
16,2
فنهار,2
سيناريو,2
خدمنا,2
تبقى,2
نحلك,2
نكويه,2
يتعدى,2
تفوتي,2
تواحد,2
صدق,2
تقولك,2
ماني,2
نكدب,2
يعرفو,2
يعايرو,2
بلادي,2
علامة,2
عجبتكم,2
ميلانو,2
قيمة,2
نبيعو,2
عيينا,2
تفرقة,2
سلامات,2
أنت,2
ديني,2
دوني,2
أرواحوا,2
فنان,2
مسخين,2
شيكي,2
تتبدل,2
وهرانيات,2
تزدام,2
قارعو,2
منارفية,2
تشوفيها,2
فرنسا,2
فواحد,2
نعيشو,2
تنجم,2
سون,2
وخروا,2
خيره,2
غاز,2
يرفد,2
لاخور,2
سير,2
ة,2
تمشى,2
نصيدوا,2
نزيدك,2
جابوك,2
قلتهم,2
حبست,2
علك,2
جيست,2
تبدل,2
فريمو,2
زكارة,2
يديرها,2
ذرة,2
حركي,2
ماكياج,2
اوكوغ,2
تسيلي,2
بعرق,2
فريمون,2
متل,2
طحت,2
نحبسو,2
مكاله,2
مشروع,2
ناجح,2
غوب,2
دجين,2
بيتوني,2
كتلني,2
جابوني,2
زعباطة,2
خاطيني,2
نزهى,2
ارجا,2
تشوفوهم,2
لاهي,2
شفتش,2
تقارع,2
ينسى,2
نبغيك,2
زاوج,2
جلبان,2
حمص,2
سفة,2
هاربين,2
مخرج,2
اكسيدون,2
سيتي,2
وقيلا,2
اخ,2
قريوش,2
صامصا,2
حشامة,2
قدامكم,2
عقرب,2
فدوار,2
مرسي,2
تعجبك,2
لمان,2
نلعبوا,2
لاصق,2
زعاقة,2
لدروك,2
تلعب,2
جيفانتيس,2
120,2
نقولهالك,2
تضحكي,2
مشتنيش,2
تنساش,2
بصراحة,2
بعين,2
بكينا,2
يلقى,2
عقلية,2
دخليه,2
قايسيه,2
نيميرو,2
حلاب,2
اوه,2
فوت,2
مدابيا,2
فهم,2
تاغ,2
سندريلا,2
دايوغ,2
شولا,2
ناكلو,2
قنت,2
خلصي,2
ناكل,2
عرق,2
راهيش,2
تعجب,2
الشر,2
فلدار,2
اسمحلي,2
لافوت,2
قوس,2
غراوين,2
أندياني,2
صفا,2
قولها,2
مشقاقش,2
اليكي,2
بياس,2
حرمة,2
سربيتا,2
رجلة,2
هده,2
مانبيعش,2
تي,2
موت,2
تموت,2
حوجيانا,2
نعلمك,2
منيتك,2
مشكيتش,2
دوفينيغ,2
موك,2
كرواسون,2
طلقوني,2
تكتلوني,2
ماتبوجيش,2
نلعب,2
نفوت,2
معروضين,2
ضحك,2
سقسيت,2
هايلا,2
يكونوا,2
تجري,2
ايلك,2
جهد,2
نسقسي,2
يقولي,2
ليزيزبانيول,2
لبس,2
ساكتين,2
قلوب,2
الحليب,2
فوالا,2
الحب,2
احترام,2
مينو,2
ملبا,2
كراميل,2
قحبة,2
ملي,2
33,2
النسب,2
نخطبو,2
هد,2
حطيست,2
حقانية,2
يلبس,2
نقارعوا,2
بان,2
فلوطو,2
عطاوني,2
لارقة,2
عتمانية,2
بهلول,2
باقي,2
متصراش,2
ندور,2
فار,2
ابوه,2
الذيب,2
ترك,2
تقلي,2
يخاف,2
لحانوت,2
منبيعش,2
المشينة,2
القعاد,2
تسعة,2
قاطعي,2
اليدين,2
يابسة,2
لقطة,2
نخطبلك,2
قاورية,2
تولد,2
تلقا,2
مال,2
ياكلوا,2
ناشف,2
تشري,2
فردة,2
مابنالي,2
واللي,2
بيعو,2
زوالي,2
بنتنا,2
تعطوني,2
خاطيك,2
المندبة,2
ولى,2
ربعة,2
رجلها,2
يشري,2
جمل,2
الشرق,2
توجور,2
قبر,2
جارك,2
الطفلة,2
بليلة,2
بحيلة,2
ندوش,2
نديره,2
فرق,2
بين,2
فاتو,2
قارو,2
فا,2
يرحمها,2
فطوركم,2
شرا,2
جارتي,2
الميت,2
الباي,2
الكبير,2
1834,2
5000,2
دابيتون,2
69,2
ألمون,2
الأجناس,2
متحصيش,2
ميزانك,2
متزوج,2
قضبنا,2
بزين,2
تلاقي,2
مشحاح,2
دفلة,2
تفاح,2
العين,2
والا,2
يعلم,2
الفار,2
حفار,2
طالبة,2
الكحل,2
ظهر,2
فراش,2
60,2
حكم,2
نقيه,2
راجلها,2
حسب,2
باتوا,2
كاينين,2
تارم,2
أمتلة,2
دوزيام,2
ميل,2
حليب,2
نشري,2
غاليين,2
أوفيغون,2
هوية,2
فلسطين,2
لجزاير,2
نسموه,2
سماوه,2
توالا,2
مخ,2
اخر,2
علم,2
خاوة,2
يعطيك,2
حكيلنا,2
عجب,2
ناض,2
ملفوف,2
راسيست,2
يفتو,2
ميزيرية,2
بزوج,2
يتكل,2
بشنوية,2
الامور,2
راية,2
1942,2
ليفرونسي,2
تابعين,2
ليزاني,2
دخلها,2
عوم,2
شافوك,2
العيد,2
ارواحو,2
تستاهل,2
مكتوب,2
كومارس,2
مينوضش,2
يبلعوا,2
زكروم,2
سيتان,2
يقولوله,2
باغيا,2
نطرطق,2
تلبسي,2
يكملك,2
هندي,2
قبايل,2
تكونو,2
يفتح,2
هذا,2
لاخر,2
زهو,2
الصيف,2
لدارنا,2
نجري,2
صحابه,2
يبات,2
تبكي,2
لحمها,2
زرقة,2
نحكم,2
ظهري,2
نوضت,2
ليهم,2
لبسة,2
برنوس,2
يبكر,2
أريي,2
مان,2
بليجيب,2
كارتيي,2
الجديدة,2
ضيقين,2
يجوا,2
يدخلوا,2
لربي,2
علاش,2
كول,2
طبسي,2
يكونو,2
عوام,2
بورتون,2
شفناه,2
فشط,2
يحكو,2
يقصر,2
يدورو,2
ماتت,2
حسبوه,2
لقاوه,2
بوكي,2
خاتم,2
حلوى,2
تعجبهم,2
فاكية,2
لعروسة,2
عييت,2
لقينا,2
يشوفك,2
مهلك,2
ديميل,2
@@Lاط@@ء,2
وانا,2
شعري,2
الإرهاب,2
تهود,2
لخويا,2
سلكه,2
دودة,2
يهدرو,2
يقرو,2
حماية,2
جي,2
بارد,2
فطيرة,2
نتمشو,2
طايبة,2
يسموها,2
حبسنا,2
روحنا,2
نتقهوا,2
أرا,2
سموه,2
كافي,2
قير,2
مونديال,2
أهالي,2
هذي,2
باشي,2
تفاهموا,2
يحبسوهمش,2
توجدي,2
مرابيين,2
كيكوطة,2
قليهم,2
يضرب,2
يقابل,2
وعشرين,2
زدت,2
نا,2
دايريين,2
عشر,2
بوحد,2
حمان,2
كدب,2
بورميير,2
نجموش,2
مريض,2
كيش,2
براكة,2
رابي,2
معدنوس,2
قبضي,2
مقلة,2
كمون,2
طفي,2
ست,2
حاشاكم,2
خافت,2
جدتي,2
فرمضان,2
أكسيدون,2
كشفة,2
خايفين,2
شهرزاد,2
يدخلوهم,2
لابريود,2
بريزيمي,2
للعسكر,2
لوغدسيري,2
فرونسا,2
يعرفوش,2
يجيبوه,2
يقولهم,2
هارر,2
كترة,2
يعييك,2
شوفها,2
تطحنيها,2
تشيشة,2
فنجان,2
تبغيها,2
خفيفة,2
صنيفات,2
توم,2
يتفرج,2
أميرة,2
ديريه,2
ديره,2
مشروط,2
كوسنتري,2
مترتقة,2
متكتريش,2
نخلوها,2
لافاك,2
ضربت,2
بركانا,2
أسطول,2
قاصد,2
خدمي,2
ريستورون,2
نقيل,2
أوموان,2
مملحات,2
جيبوا,2
نجمع,2
كرش,2
مقطعة,2
الشوبيونا,2
بقى,2
أسكت,2
حرور,2
كركم,2
متقلوليش,2
تكتري,2
سردين,2
تزيدي,2
أصلا,2
شارم,2
زعفران,2
زوجة,2
طاحوا,2
خلاوهم,2
حشيش,2
طراف,2
كرافس,2
شاركي,2
يفهم,2
يبقص,2
جيبوه,2
تلعبي,2
عمتي,2
قارديان,2
محة,2
مهابيل,2
ألاف,2
مريضة,2
جرة,2
صحيح,2
العام,2
ردت,2
فعايل,2
بطريقة,2
فطرت,2
كليت,2
أو,2
كريمة,2
عراس,2
تنجمو,2
تقولو,2
نخليكم,2
عروبي,2
بص,2
مغارف,2
خيرت,2
بصل,2
2010,2
باردة,2
دارتلي,2
حكيلي,2
قندسي,2
زياني,2
يعس,2
ميعرفوش,2
مات,2
خيان,2
يحلو,2
نبكي,2
ملخدمة,2
يضحك,2
رده,2
صالحة,2
قرجومتي,2
صوالحي,2
جابت,2
أيمن,2
لستاد,2
أنايا,2
تحزن,2
صبحتي,2
الشيرات,2
يجمعوا,2
نروحوا,2
تقرا,2
فوزية,2
معلاباليش,2
خمسلاف,2
بونجوغ,2
تناقرفيا,1
جايني,1
ميديكال,1
ألو,1
طردني,1
للشباب,1
شربت,1
كوكا,1
غمزة,1
تفضلي,1
ويزيد,1
يبلع,1
البا,1
كونساي,1
بايتة,1
خطة,1
فتراب,1
نردمة ه,1
ندولها,1
نجروا,1
تقلعه,1
بما,1
تنفخه,1
تقلع,1
شرط,1
اهم,1
بينتيلي,1
ببروصادون,1
طارف,1
شرقه,1
ضرتني,1
سعدي,1
حطتلي,1
بالخوف,1
مغرب,1
نلعبو,1
خليتهاو,1
ريحي,1
عطاتني,1
جونداغم,1
نسكنو,1
لطبيب,1
اس,1
يحرزهم,1
بشعرة,1
سلكت,1
جبدتها,1
ايماجيني,1
متساعفيش,1
دمعي,1
رحتي,1
خفت,1
زراق,1
فرنك,1
حطيتها,1
ندسهوملك,1
هاتي,1
صغيرة ماما,1
مدلي,1
لبويا,1
فلاحة,1
شدي,1
بهدلتني,1
مستيكي,1
بكوستمة,1
سقده,1
عدله,1
وجا,1
لحكايا,1
حكاتله,1
دروج,1
راقدة,1
لقاني,1
بيرمانونص,1
تلقي,1
داخلة,1
نتحل,1
حديدة,1
تحوسي,1
لديسكو,1
اوتال,1
كراله,1
لراها,1
بطا,1
قلشاه,1
تقولوا,1
طاعة,1
حلاوة,1
تدوقي,1
تذوق,1
مش,1
معصية,1
مرورة,1
تحسوا,1
متأمنش,1
متشبعوهاش,1
تكلوها,1
يفطنوك,1
صحباتك,1
صحابك,1
عرضها,1
بطولها,1
اقزومبل,1
وتديه,1
ببطاطا,1
لجنوب,1
شمال,1
للغرب,1
شرق,1
نبغوه,1
عساس,1
نقيتهم,1
صنيفة,1
تنطحن,1
قطعتها,1
متوسطين,1
تعها,1
طاقة,1
تقدو,1
مورصو,1
تعنا,1
وقاري,1
بشكارة,1
بركة,1
نخدموها,1
وكيفاش,1
خواتتي,1
وحيدة,1
طريقة,1
يفهمك,1
أعق,1
تقوليله,1
لعند,1
قواية,1
متأترش,1
كابوية,1
سيقان,1
وديت,1
تحتاني,1
طيبو,1
سيزون,1
مورصيات,1
وقطعتهم,1
ضربه,1
يبعرر,1
ماشافش,1
لعمى,1
مننساوش,1
أخواتي,1
خصرة,1
هايلة,1
متحسبيش,1
فخارج,1
نوليلها,1
تبعديه,1
بالشي,1
يحس,1
يشم,1
تخليه,1
متبلة,1
منكهة,1
سكنجبير,1
بابريكا,1
نديرولها,1
نعطروها,1
تتقلى,1
ينقلى,1
كونسوتري,1
فالبور,1
يقارعوله,1
المعسكرية,1
حفلة,1
الدوفان,1
للباطوار,1
وقالوا,1
رشات,1
بليزبيس,1
معطرة,1
تاكلوها,1
كترتي,1
بهم,1
تحسي,1
ماغاديش,1
طولي,1
توالفها,1
مدة,1
تقتل,1
توقفي,1
شفتي,1
سييتي,1
قصتي,1
ميليتار,1
يفوتو,1
لجندارم,1
لكباش,1
يبداو,1
نطحن,1
نقسمها,1
تحطيها,1
نقلبو,1
مينحرقش,1
تتلقلي,1
بادت,1
متنحرقليش,1
خفيف,1
دوا,1
ندوق,1
تساطاعش,1
تمنطاهش,1
السيزيام,1
السما,1
مسميين,1
غلات,1
مينحرقوش,1
نمرق,1
بالما,1
يتلقو,1
نقلعوهم,1
درناه,1
تتلق,1
سكتوا,1
فوباراج,1
يفوتوا,1
تفي,1
طابت,1
توخريه,1
طاب,1
تطيب,1
يتغطى,1
تمرقيها,1
تعاودي,1
الحلال,1
سباطاعش,1
شيمي,1
سوتنيت,1
تناعش,1
الباك,1
خمسكاعش,1
البيام,1
المخلوق,1
نقطعهم,1
منقيين,1
عروش,1
شوبة,1
ندو,1
فدرسة,1
نارو,1
نحتوها,1
تنتفخ,1
كونتيتي,1
ترمي,1
شفتيها,1
تزيدلها,1
رحة,1
تميكسيها,1
ومغرف,1
يديره,1
منديرهش,1
تقدي,1
جامبو,1
مكاتيب,1
شكلة,1
إسمي,1
أمينة,1
بلاصت,1
تكتب,1
عجبهم,1
قبلو,1
نسموها,1
تخلطت,1
الدعوة,1
بكفتة,1
تشد,1
مقومة,1
نطفو,1
لربع,1
نخلو,1
نكبوها,1
طايب,1
تبدى,1
هادية,1
فوف,1
نمكسيهم,1
خاصتكم,1
عشاب,1
تنباع,1
ايبيس,1
تنزل,1
مخملة,1
بزيتون,1
غراتان,1
تشكشوكة,1
مقلية,1
ناضلهم,1
يسموني,1
عشت,1
ميراكل,1
سماوني,1
عبايا,1
خرجله,1
لاقونا,1
دوبلينو,1
سلاطة,1
السبيطار,1
خلاتنيش,1
ببلاع,1
غطيها,1
قارفو,1
فرغيها,1
تفوروخري,1
تفور,1
وخليها,1
فكسكاس,1
بصوالحها,1
فرغي,1
قدبي,1
ملحيها,1
قطعيها,1
شرمولة,1
درتيلها,1
لاغوسات,1
درتيها,1
بروز,1
وفاء,1
طيبة,1
شهية,1
وضو,1
جغمة,1
سقساواه,1
ضحكني,1
ستين,1
بستة,1
كبرتني,1
خرجتني,1
يتهلوش,1
حمرة,1
وحرور,1
صفيه,1
غرفية,1
وخريه,1
تنقيه,1
فخاطري,1
باراج,1
يطيحوا,1
أمالي,1
الباراجات,1
يوصلوا,1
يفوجوا,1
مازدة,1
ركبوا,1
عمى,1
مسييهم,1
وينها,1
زيدي,1
يترابو,1
سنيفات,1
لافاخص,1
متخرجش,1
تخيطي,1
كيلي,1
بكيردون,1
تبلعيها,1
بلفاخص,1
تعمرها,1
تقضبي,1
تخلطيهم,1
ثلات,1
وديري,1
رند,1
قرفة,1
كركب,1
فروز,1
را,1
الوقت,1
خمسا,1
يخليهوملي,1
والدين,1
فحياته,1
هدف,1
معنده,1
يلايم,1
بذراعه,1
غيسوبسبليتي,1
نوفتو,1
ديسيدينا,1
حرقة,1
بويكاند,1
جميل,1
ردلي,1
سييها,1
مشبعوش,1
سييته,1
دقابق,1
تبلعي,1
فلكيكوطة,1
ستفيه,1
تخسرلك,1
تنشف,1
متخليهاش,1
قهوا,1
يلقا,1
حياة,1
ثقلنا,1
حابسين,1
سيغكيلاسيون,1
شفنا,1
يقدنا,1
فصباح,1
قاليتات,1
طيبنا,1
اومليت,1
فريت,1
كسكروطات,1
وجدنا,1
نبحروا,1
تخابطو,1
يجبد,1
يجرو,1
سقسينا,1
دمومات,1
مقيسة,1
مكرفسة,1
عياذ,1
متعمرله,1
مغموم,1
مغلبه,1
يسكر,1
مهني,1
متلقاهش,1
ميدير,1
لاقيها,1
الجاف,1
للشعر,1
هاذامكتوب,1
الحابسة,1
الشومبوان,1
ردوه,1
طلعوا,1
غلو,1
فبارك,1
سطاسيونينا,1
نفوتو,1
لافراي,1
يدوهم,1
بعدو,1
رفدهوم,1
بومبيا,1
قصرنا,1
وزدنا,1
فطرنا,1
بحرو,1
قابلنا,1
مجاتنش,1
ريحنا,1
كراسى,1
باغاصول,1
كرينا,1
يعسها,1
قدرون,1
بيست,1
مسقم,1
مرقوها,1
مشمخ,1
يحطو,1
بروف,1
تشف,1
كوليها,1
مترطيش,1
يجبده,1
فبلاصته,1
تاح,1
راحله,1
شوفه,1
يغرق,1
يختر,1
سلكوني,1
فماء,1
يتخبط,1
نعومو,1
ولتله,1
قلعوله,1
تغاشى,1
يرجعوله,1
اصطناعي,1
تنفس,1
مدنية,1
خرجه,1
يبكرو,1
يرقدو,1
فالفيسبوك,1
يلصقوا,1
يتعشو,1
سناب,1
فالانستغرام,1
صطوري,1
مترتق,1
برملة,1
تلايمو,1
بارتيا,1
غاكيت,1
شربنا,1
جعنا,1
تكلما,1
عمنا,1
حمر,1
وعلام,1
غلط,1
داوه,1
قشه,1
لبسوله,1
فطن,1
شبعانين,1
بلاكريم,1
كملناها,1
صغيورة,1
خلود,1
تصفاق,1
وزهو,1
بموسيقى,1
موليين,1
لحقوه,1
فراقها,1
للقبر,1
بيضا,1
يتقهو,1
ميقارع,1
يتقهوا,1
فلوغ,1
تارتا,1
يدوا,1
غشيه,1
مليها,1
يخطب,1
فحلال,1
ينوي,1
يستبيت,1
رقدنا,1
دوشنا,1
كاو,1
عيانين,1
ليم,1
اسكيمو,1
تبردنا,1
طاقته,1
قفطان,1
منصورية,1
بلوزة,1
قسنطينية,1
كاركو,1
اما,1
يطيبوا,1
خاصهم,1
كباش,1
تديلهم,1
يحدوا,1
حدايد,1
يتفهموا,1
شوكولا,1
كورباي,1
الزاوج,1
صنف,1
يرقد,1
فالناس,1
صابون,1
شامبوان,1
بمكياج,1
حزامة,1
بيجامات,1
كيلوطات,1
كوبينزويات,1
تحتانية,1
شنقلى,1
برسك,1
صاكها,1
بصباطها,1
سنياوات,1
تمر,1
قطنة,1
شمع,1
سكر,1
قالب,1
سني,1
لماكلا,1
متوحش,1
جيعان,1
ريسطو,1
مدرهم,1
حشيا,1
وقتاه,1
جايب,1
يرندف,1
استاذ,1
مرول,1
مثقوب,1
يفتحوا,1
بفاتحة,1
نبدوا,1
توعها,1
عارضين,1
شهود,1
امام,1
يفتحو,1
للفاتحة,1
عرضهم,1
رجالا,1
لصالا,1
وجدتهم,1
مقودها,1
حداها,1
بتبديلة,1
وكل,1
ددجي,1
ركس,1
ويفطروهم,1
يقعدوا,1
يشوروا,1
تزغرت,1
يدوش,1
الكافي,1
اخره,1
ظاهرة,1
فتحة,1
عربية,1
لتجي,1
عيطلها,1
دبحلها,1
بوقاطو,1
والمشتة,1
يصدق,1
تدبيرته,1
لشيرة,1
لادت,1
يحدد,1
تشور,1
سهرة,1
منوع,1
يقسمو,1
زاهين,1
زغرت,1
لصحابه,1
يعيط,1
القهوه,1
كونيكسيون,1
يغلبها,1
مديتها,1
سدي,1
كابة,1
زوجوها,1
حبيبتك,1
دست,1
زوجها,1
جارتنا,1
فوياج,1
مسافر,1
فلعشرة,1
حكمتها,1
ردخته,1
نيفها,1
ونيكي,1
نذير,1
صالون,1
تدهاش,1
تبقا,1
يدابز,1
زطلة,1
يتعشا,1
ينسف,1
يكمي,1
يمنشر,1
فقهوه,1
يتلاقو,1
طيحت,1
بيناتهم,1
بالا,1
نرفد,1
للحومة,1
وصحابو,1
زدم,1
خطيبها,1
قفلت,1
الضرب,1
متسمعش,1
لغنا,1
ودنيك,1
كيتمان,1
حطي,1
خرجتها,1
شاي,1
بتاتواج,1
تدور,1
حبك,1
قوي,1
تستاهلها,1
خطبها,1
حكمت,1
هربو,1
نحكمهم,1
نديروحاجة,1
ميزامي,1
تشجعت,1
غدرني,1
نواحد,1
اتناعش,1
منستعرفوش,1
ناضو,1
بولتيك,1
جبدو,1
مريحة,1
يضحكو,1
يجيبهلنا,1
ضرا,1
حبها,1
وقتنا,1
الجزائر,1
جان,1
كاتيغوري,1
ثلاثة,1
صيني,1
اخضر,1
يشور,1
سنتيم,1
يده,1
فقر,1
خلاو,1
ذل,1
عاجبكم,1
سنة,1
جهالا,1
بركو,1
قبايلية,1
ترفدنا,1
قبايلي,1
زواوا,1
ليبريسونتي,1
بهداك,1
مخرود,1
لتجارة,1
لسياحة,1
لصحة,1
متعليم,1
مجالات,1
لابلاج,1
كتبة,1
قابسة,1
شناوة,1
حروف,1
ميعرفش,1
شايع,1
تاتواج,1
ماركار,1
يترفح,1
ولدت,1
الدين,1
نسميه,1
تفاهموش,1
بكرش,1
جهل,1
تابع,1
ترفدو,1
نسقسيكم,1
يناقش,1
يفرق,1
يتقف,1
مفروض,1
ميهدرش,1
جاهل,1
ابسط,1
كتلة,1
صحرا,1
ترقي,1
قبالي,1
بانتلي,1
يتجزأ,1
جزء,1
أمازيغية,1
يترفع,1
نبقاو,1
يجيبو,1
سرواله,1
شافو,1
يتمشو,1
مزطولين,1
والوه,1
يلقاوها,1
يجبدو,1
يدخلوها,1
نديرهاش,1
مطالب,1
يحقو,1
نطقت,1
جهوية,1
ينوضو,1
عقولهم,1
مفرقين,1
كاتبين,1
تواعك,1
فلكواعط,1
جزاييرين,1
مكتوبين,1
لحرام,1
حلوف,1
مطرق,1
ميفهمو,1
جاهلين,1
فهامتهم,1
بصوالح,1
يلهو,1
رسام,1
فبحر,1
صرالك,1
موقف,1
نحير,1
شهرين,1
مازلها,1
لادات,1
شاش,1
قندورة,1
الحيوان,1
براك,1
عيش,1
الفيران,1
وعايشين,1
الحلحال,1
قلتة,1
الفرسان,1
ويشربوا,1
لجبال,1
وبين,1
وفيك,1
الساقية,1
ميلقاش,1
يمشوها,1
كرعيها,1
ينزلوها,1
يشعل,1
شاعلة,1
دري,1
يجيبلهم,1
جيران,1
وليداته,1
يقضب,1
ميقراش,1
شمعة,1
بركعة,1
نحفظوه,1
لعراش,1
تربيعة,1
بعلم,1
بنظافة,1
بلبسة,1
بتبسيمة,1
رفدت,1
حملت,1
تزوجوا,1
سبابي,1
تربحك,1
دعاوي,1
ويسمع,1
تضبح,1
بهدلتينا,1
فاطيمة,1
خلقها,1
ليغجونس,1
اصلي,1
قناعة,1
خلات,1
ضحية,1
مصروف,1
قرب,1
سيدنا,1
مخلصتوهش,1
تريسنتي,1
مارحوش,1
منزدوش,1
خالص,1
خلص,1
بقناعة,1
بمال,1
بظرافة,1
قادرة,1
المعسكري,1
ضفاره,1
الحاجب,1
مهما,1
السلطان,1
وقارو,1
البرودة,1
ماحلى,1
وهو,1
ماديه,1
الزبالة,1
النمالة,1
يلمع,1
كسور,1
تشبع,1
اعرف,1
الطويل,1
ينط,1
اليتامة,1
الحجامة,1
يتعلم,1
يبوسو,1
للسبيطار,1
كلونديستان,1
يرفدها,1
الجزاى ءرية,1
توا,1
افيك,1
مون,1
دولوغ,1
الالكتروميناجي,1
عطاوه,1
الحمار,1
الورد,1
القرد,1
وماخاص,1
العمشة,1
ماخاص,1
كرافاطا,1
ولبست,1
القطة,1
ويعرف,1
سكران,1
المعيشة,1
حشيشة,1
وراه,1
القصير,1
شادها,1
درق,1
نسيم,1
الطعام,1
سمعت,1
قسمو,1
لأصلو,1
كسكسلو,1
يعورك,1
تحقرو,1
العود,1
حكان,1
الفرطاس,1
كلاه,1
يشمو,1
القرنفل,1
يحلها,1
بيديه,1
شبعت,1
شعلت,1
شاعل,1
فجيب,1
قاده,1
أديداس,1
مدرارة,1
ديو,1
اومون,1
عي,1
غسبيغ,1
تنفسي,1
موغيغ,1
جوفي,1
عرجون,1
جابولو,1
وكي,1
تمرو,1
مشتاق,1
حول,1
بالفاس,1
هاربلي,1
امو,1
نحفرلو,1
آح,1
الشباح,1
البكى,1
الوسط,1
المعنى,1
بسنيه,1
ومين,1
ودروك,1
وشكى,1
وسبقني,1
بكى,1
لفعايل,1
ودبارتو,1
يخصك,1
للعمية,1
بوذنيها,1
والغابة,1
بعينيها,1
يشكر,1
حوحو,1
لأمها,1
البرمة,1
جار,1
أشري,1
عشاء,1
نسيبتو,1
لتكل,1
مرتاح,1
المشحاح,1
تشكرها,1
العروسة,1
لسبيطار,1
تربحهم,1
250,1
جيلالي,1
حشاوهلي,1
مكياج,1
معرفتنيش,1
منعطوكش,1
جيبلنا,1
نكرهوه,1
يكرهنا,1
عمامة,1
ونحطوه,1
نحبوه,1
يحبنا,1
بقشورو,1
بالفول,1
باعك,1
كرهني,1
قصر,1
حبني,1
ختها,1
ولقات,1
والي,1
الكل,1
ماتلحسوش,1
لاعاد,1
القيامة,1
اجمل,1
مرتى,1
اخيرا,1
زوجي,1
اول,1
حشينهاله,1
اتزوجها,1
قابلين,1
لراني,1
سنتين,1
نلم,1
الخنفوس,1
حدبته,1
ونسى,1
حدبة,1
الجمل,1
ايقاقي,1
أصبح,1
الدجاج,1
النط,1
كلهم,1
الكلبة,1
أولاد,1
بالفعايل,1
ولاخرة,1
بالوجوه,1
وانساه,1
يشيب,1
بعره,1
البعير,1
مخنزة,1
الشحمة,1
تطيرلوش,1
حامض,1
العنقود,1
يصليش,1
الأوقات,1
كالديك,1
الاعمى,1
النديب,1
والميت,1
غزال,1
أمه,1
الخدمة,1
الفعايل,1
ضلاليل,1
الدفلة,1
نوار,1
الحبل,1
اللفعى,1
قرساتو,1
السلوقي,1
حافظوا,1
الديب,1
قراه,1
السردين,1
والأخرى,1
تعس,1
الغراب,1
ولو,1
المعاونة,1
/,1
الخسارة,1
فى,1
80,1
تشريلها,1
خطارش,1
لخوها,1
تعطي,1
تعطينا,1
مهر,1
بستيل,1
قاللو,1
الغسيل,1
الة,1
ذنوب,1
وبخر,1
لحيته,1
والديها,1
يهردلها,1
يسقم,1
عماها,1
عينيها,1
كحل,1
يديرلها,1
اعماها,1
يكحلها,1
الريسان,1
ودر,1
شومير,1
البطالة,1
النساء,1
بالغربال,1
الشمس,1
غطى,1
وتفوت,1
تخطي,1
لامبوسيبل,1
نتعاونو,1
نساندو,1
تصفق,1
رطابة,1
وشوي,1
الحنة,1
تذوب,1
مولاها,1
رأس,1
شاخصك,1
عبرة,1
نهارة,1
لتم,1
واصلة,1
قمر,1
لخطيبته,1
فلبحر,1
مقودة,1
تلازم,1
مثلما,1
تلازمك,1
الحجارة,1
فانية,1
حجاره,1
والقصعة,1
كلاني,1
حرت,1
مزيدلها,1
طالق,1
ركبت,1
صراتلك,1
كوستيمة,1
المشينا,1
بالحسب,1
وعليكم,1
شوفيلي,1
لجيلالي,1
تتشبه,1
منتزوجهاش,1
خالتك,1
نزوجك,1
شوك,1
حشمت,1
صبتك,1
للعرس,1
عايلتي,1
عايلة,1
راكبة,1
دارلي,1
يخزروا,1
راكبين,1
نخلع,1
تقلقت,1
ماكين,1
صبرت,1
نربحش,1
شدخلني,1
أحمر,1
لومبا,1
احلامهم,1
بيضاء,1
رزين,1
اخوك,1
كانوي,1
جنابي,1
حسيتها,1
نرقص,1
نصفق,1
نضت,1
وعريضة,1
بتزغريتة,1
ضربتها,1
حشمة,1
رسا,1
سبو,1
ماتريال,1
فاني,1
غرها,1
لما,1
تشربوا,1
لاطبل,1
شاخصكم,1
كالحمام,1
طاير,1
مخهم,1
كالريام,1
واسع,1
خيالهم,1
