id	field	corrected_value	reason
OD-0823	en	I deserve	영어 문법·시제·인칭 및 의미 교정
OD-0824	ko	너(남성 단수)는 상상한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0824	en	you (m.sg.) imagine	영어 문법·시제·인칭 및 의미 교정
OD-0826	ko	그는 달린다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0826	en	he runs	영어 문법·시제·인칭 및 의미 교정
OD-0827	ko	그녀는 부른다/소리친다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0827	en	she calls / shouts	영어 문법·시제·인칭 및 의미 교정
OD-0828	ko	그는 계속 머문다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0828	en	he remains / continues	영어 문법·시제·인칭 및 의미 교정
OD-0829	ko	그는 아침 식사를 한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0829	en	he has breakfast	영어 문법·시제·인칭 및 의미 교정
OD-0831	ko	그의 마음/심장	자연스러운 한국어 및 형태·접사 해석 교정
OD-0831	en	his heart	영어 문법·시제·인칭 및 의미 교정
OD-0832	ko	내 형제들	자연스러운 한국어 및 형태·접사 해석 교정
OD-0832	en	my brothers / siblings	영어 문법·시제·인칭 및 의미 교정
OD-0835	ko	하리라 수프에	자연스러운 한국어 및 형태·접사 해석 교정
OD-0835	en	in harira soup	영어 문법·시제·인칭 및 의미 교정
OD-0836	ko	그녀는 끓는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0836	en	she/it boils	영어 문법·시제·인칭 및 의미 교정
OD-0837	ko	너(여성 단수)는 했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0837	en	you (f.sg.) did	영어 문법·시제·인칭 및 의미 교정
OD-0841	ko	우리는 올라갔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0841	en	we went up	영어 문법·시제·인칭 및 의미 교정
OD-0842	ko	우리는 했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0842	en	we did	영어 문법·시제·인칭 및 의미 교정
OD-0843	ko	네 아이/아들	자연스러운 한국어 및 형태·접사 해석 교정
OD-0843	en	your child / son	영어 문법·시제·인칭 및 의미 교정
OD-0844	ko	그 자신	자연스러운 한국어 및 형태·접사 해석 교정
OD-0844	en	himself	영어 문법·시제·인칭 및 의미 교정
OD-0845	ko	그는 남아 있다/지속된다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0845	en	he remains / lasts	영어 문법·시제·인칭 및 의미 교정
OD-0849	ko	알제리식으로; 알제리어로	자연스러운 한국어 및 형태·접사 해석 교정
OD-0849	en	in Algerian (style/language)	영어 문법·시제·인칭 및 의미 교정
OD-0851	ko	너(여성 단수)는 보았다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0851	en	you (f.sg.) saw	영어 문법·시제·인칭 및 의미 교정
OD-0852	ko	우리는 필요하다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0852	en	we need	영어 문법·시제·인칭 및 의미 교정
OD-0853	ko	그녀의 딸	자연스러운 한국어 및 형태·접사 해석 교정
OD-0853	en	her daughter	영어 문법·시제·인칭 및 의미 교정
OD-0854	ko	결혼식에서	자연스러운 한국어 및 형태·접사 해석 교정
OD-0854	en	at a wedding	영어 문법·시제·인칭 및 의미 교정
OD-0856	ko	그는 찾는다/마련한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0856	en	he looks for / arranges	영어 문법·시제·인칭 및 의미 교정
OD-0857	ko	너(남성 단수)는 모욕한다/도발한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0857	en	you (m.sg.) insult / provoke	영어 문법·시제·인칭 및 의미 교정
OD-0860	ko	그는 받을 만하다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0860	en	he deserves	영어 문법·시제·인칭 및 의미 교정
OD-0861	ko	나는 내다본다/바라본다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0861	en	I overlook / look out	영어 문법·시제·인칭 및 의미 교정
OD-0863	ko	그는 가져온다/데려온다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0863	en	he brings / gets	영어 문법·시제·인칭 및 의미 교정
OD-0864	ko	내 여자 친구	자연스러운 한국어 및 형태·접사 해석 교정
OD-0864	en	my female friend	영어 문법·시제·인칭 및 의미 교정
OD-0865	ko	그는 소리친다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0865	en	he shouts	영어 문법·시제·인칭 및 의미 교정
OD-0866	ko	그들은 찾았다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0866	en	they found	영어 문법·시제·인칭 및 의미 교정
OD-0867	ko	네 마음/심장	자연스러운 한국어 및 형태·접사 해석 교정
OD-0867	en	your heart	영어 문법·시제·인칭 및 의미 교정
OD-0868	ko	그의 아이/아들	자연스러운 한국어 및 형태·접사 해석 교정
OD-0868	en	his child / son	영어 문법·시제·인칭 및 의미 교정
OD-0870	ko	너(남성 단수)는 삼킨다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0870	en	you (m.sg.) swallow	영어 문법·시제·인칭 및 의미 교정
OD-0871	ko	나는 내려간다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0871	en	I go down	영어 문법·시제·인칭 및 의미 교정
OD-0872	ko	그것은 ~을 뜻한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0872	en	it means	영어 문법·시제·인칭 및 의미 교정
OD-0874	ko	그는 꿈꾼다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0874	en	he dreams	영어 문법·시제·인칭 및 의미 교정
OD-0877	ko	그는 보상한다/뒤를 잇는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0877	en	he compensates / succeeds	영어 문법·시제·인칭 및 의미 교정
OD-0878	ko	그는 가려 준다/보호한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0878	en	he covers / protects	영어 문법·시제·인칭 및 의미 교정
OD-0879	ko	네 여자 친구	자연스러운 한국어 및 형태·접사 해석 교정
OD-0879	en	your female friend	영어 문법·시제·인칭 및 의미 교정
OD-0883	ko	그는 출발한다/벗는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0883	en	he sets off / takes off	영어 문법·시제·인칭 및 의미 교정
OD-0885	ko	그는 농담한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0885	en	he jokes	영어 문법·시제·인칭 및 의미 교정
OD-0887	ko	나는 잡는다/통제한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0887	en	I hold / control	영어 문법·시제·인칭 및 의미 교정
OD-0888	ko	우리는 울었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0888	en	we cried	영어 문법·시제·인칭 및 의미 교정
OD-0889	ko	내 나라	자연스러운 한국어 및 형태·접사 해석 교정
OD-0889	en	my country	영어 문법·시제·인칭 및 의미 교정
OD-0890	ko	그녀는 비틀거린다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0890	en	she falters / staggers	영어 문법·시제·인칭 및 의미 교정
OD-0891	ko	나는 ~하게 둔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0891	en	I let / leave	영어 문법·시제·인칭 및 의미 교정
OD-0892	ko	너(여성 단수)는 잊었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0892	en	you (f.sg.) forgot	영어 문법·시제·인칭 및 의미 교정
OD-0893	ko	나는 처리한다/마련한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0893	en	I manage / arrange	영어 문법·시제·인칭 및 의미 교정
OD-0896	ko	나는 불을 붙인다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0896	en	I ignite / turn on	영어 문법·시제·인칭 및 의미 교정
OD-0897	ko	그녀는 슬퍼한다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0897	en	she grieves / is sad	영어 문법·시제·인칭 및 의미 교정
OD-0898	ko	나는 갔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0898	en	I went	영어 문법·시제·인칭 및 의미 교정
OD-0900	ko	나는/너는 찾았다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0900	en	I/you found	영어 문법·시제·인칭 및 의미 교정
OD-0902	ko	네 아버지	자연스러운 한국어 및 형태·접사 해석 교정
OD-0902	en	your father	영어 문법·시제·인칭 및 의미 교정
OD-0903	ko	나는 나갔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0903	en	I went out	영어 문법·시제·인칭 및 의미 교정
OD-0904	ko	그는 올라갔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0904	en	he went up	영어 문법·시제·인칭 및 의미 교정
OD-0905	ko	너는/그녀는 찾는다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0905	en	you/she find(s)	영어 문법·시제·인칭 및 의미 교정
OD-0909	ko	그는 필요했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0909	en	he needed	영어 문법·시제·인칭 및 의미 교정
OD-0910	ko	나와 함께; 나를 통해	자연스러운 한국어 및 형태·접사 해석 교정
OD-0910	en	with me / through me	영어 문법·시제·인칭 및 의미 교정
OD-0911	ko	그들에게 있다; 그들이 가지고 있다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0911	en	they have	영어 문법·시제·인칭 및 의미 교정
OD-0913	ko	입을 다물어 (여성 단수에게)	자연스러운 한국어 및 형태·접사 해석 교정
OD-0913	en	shut your mouth (imperative, f.sg.)	영어 문법·시제·인칭 및 의미 교정
OD-0914	ko	너와 함께; 너를 통해	자연스러운 한국어 및 형태·접사 해석 교정
OD-0914	en	with you (sg.) / through you	영어 문법·시제·인칭 및 의미 교정
OD-0915	ko	그는 떨어졌다/일이 일어났다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0915	en	he fell / it happened	영어 문법·시제·인칭 및 의미 교정
OD-0916	ko	너희의 것	자연스러운 한국어 및 형태·접사 해석 교정
OD-0916	en	yours (pl.)	영어 문법·시제·인칭 및 의미 교정
OD-0918	ko	~하지 않을 것이다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0918	en	will not	영어 문법·시제·인칭 및 의미 교정
OD-0920	ko	나는 만났다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0920	en	I met	영어 문법·시제·인칭 및 의미 교정
OD-0922	ko	그녀는 지나갔다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0922	en	she passed / it went by	영어 문법·시제·인칭 및 의미 교정
OD-0923	ko	그의 아내	자연스러운 한국어 및 형태·접사 해석 교정
OD-0923	en	his wife	영어 문법·시제·인칭 및 의미 교정
OD-0924	ko	그는 찾았다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0924	en	he found	영어 문법·시제·인칭 및 의미 교정
OD-0926	ko	밤에	자연스러운 한국어 및 형태·접사 해석 교정
OD-0926	en	at night	영어 문법·시제·인칭 및 의미 교정
OD-0928	ko	그에게서; 그것에서	자연스러운 한국어 및 형태·접사 해석 교정
OD-0928	en	from him / from it	영어 문법·시제·인칭 및 의미 교정
OD-0929	ko	네 삶	자연스러운 한국어 및 형태·접사 해석 교정
OD-0929	en	your life	영어 문법·시제·인칭 및 의미 교정
OD-0931	ko	그날들; 시절	자연스러운 한국어 및 형태·접사 해석 교정
OD-0931	en	the days / times	영어 문법·시제·인칭 및 의미 교정
OD-0932	ko	그는 원했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0932	en	he wanted	영어 문법·시제·인칭 및 의미 교정
OD-0933	ko	그의 권리; 그의 몫	자연스러운 한국어 및 형태·접사 해석 교정
OD-0933	en	his right / due	영어 문법·시제·인칭 및 의미 교정
OD-0934	ko	내 친삼촌	자연스러운 한국어 및 형태·접사 해석 교정
OD-0934	en	my paternal uncle	영어 문법·시제·인칭 및 의미 교정
OD-0936	ko	내 삶	자연스러운 한국어 및 형태·접사 해석 교정
OD-0936	en	my life	영어 문법·시제·인칭 및 의미 교정
OD-0937	ko	그녀는 일어났다/소동이 벌어졌다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0937	en	she got up / it broke out	영어 문법·시제·인칭 및 의미 교정
OD-0938	ko	나는 자랐다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0938	en	I grew up	영어 문법·시제·인칭 및 의미 교정
OD-0939	ko	나는 ~이 아니다/없는 상태다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0939	en	I am not	영어 문법·시제·인칭 및 의미 교정
OD-0943	ko	자동차로	자연스러운 한국어 및 형태·접사 해석 교정
OD-0943	en	by car	영어 문법·시제·인칭 및 의미 교정
OD-0944	ko	나는 돌아왔다/~이 되었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0944	en	I came back / became	영어 문법·시제·인칭 및 의미 교정
OD-0945	ko	그녀는 받아들였다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0945	en	she accepted	영어 문법·시제·인칭 및 의미 교정
OD-0946	ko	그녀와 함께; 그것으로	자연스러운 한국어 및 형태·접사 해석 교정
OD-0946	en	with her / with it	영어 문법·시제·인칭 및 의미 교정
OD-0947	ko	그녀는 원했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0947	en	she wanted	영어 문법·시제·인칭 및 의미 교정
OD-0950	ko	네 삼촌	자연스러운 한국어 및 형태·접사 해석 교정
OD-0950	en	your uncle	영어 문법·시제·인칭 및 의미 교정
OD-0952	ko	나는 전화했다/불렀다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0952	en	I called	영어 문법·시제·인칭 및 의미 교정
OD-0953	ko	그녀는 시작했다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0953	en	she started	영어 문법·시제·인칭 및 의미 교정
OD-0954	ko	나는 알았다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0954	en	I knew / found out	영어 문법·시제·인칭 및 의미 교정
OD-0955	ko	내 얼굴	자연스러운 한국어 및 형태·접사 해석 교정
OD-0955	en	my face	영어 문법·시제·인칭 및 의미 교정
OD-0959	ko	그녀의 입	자연스러운 한국어 및 형태·접사 해석 교정
OD-0959	en	her mouth	영어 문법·시제·인칭 및 의미 교정
OD-0960	ko	나는 할 수 있었다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0960	en	I could	영어 문법·시제·인칭 및 의미 교정
OD-0962	ko	네 아이들	자연스러운 한국어 및 형태·접사 해석 교정
OD-0962	en	your children	영어 문법·시제·인칭 및 의미 교정
OD-0963	ko	나에게서	자연스러운 한국어 및 형태·접사 해석 교정
OD-0963	en	from me	영어 문법·시제·인칭 및 의미 교정
OD-0965	ko	그들의 아이들	자연스러운 한국어 및 형태·접사 해석 교정
OD-0965	en	their children	영어 문법·시제·인칭 및 의미 교정
OD-0966	ko	내 앞에	자연스러운 한국어 및 형태·접사 해석 교정
OD-0966	en	in front of me	영어 문법·시제·인칭 및 의미 교정
OD-0967	ko	계곡에서; 하천에서	자연스러운 한국어 및 형태·접사 해석 교정
OD-0967	en	in the valley / riverbed	영어 문법·시제·인칭 및 의미 교정
OD-0970	ko	네 두 발/다리	자연스러운 한국어 및 형태·접사 해석 교정
OD-0970	en	your feet / legs	영어 문법·시제·인칭 및 의미 교정
OD-0971	ko	그는 길어졌다/오래 걸렸다	자연스러운 한국어 및 형태·접사 해석 교정
OD-0971	en	he/it became long / took long	영어 문법·시제·인칭 및 의미 교정
OD-0601	note	완료형; 형태 태그상 주어=그들; 목적어 접사 없음	형태 분석·접사 설명 교정
OD-0602	note	과거 존재 부정 표현; 단순 동사 완료형+ma-/m-…-ch로 분석하면 안 됨	형태 분석·접사 설명 교정
OD-0611	note	완료형; 주어=너(단수, 성별 문맥 의존); 목적어 접사=나를	형태 분석·접사 설명 교정
OD-0613	note	완료형; 주어=그들; 목적어 접사=그녀를/그것(여성)을	형태 분석·접사 설명 교정
OD-0618	note	미완료형; 문법적 주어=그것/그; 목적어 접사=너(남성)를; 자연 의미는 “네 마음에 들다”	형태 분석·접사 설명 교정
OD-0619	note	미완료형; 주어=그; 목적어 접사=너(남성)를; 기본 의미는 “내버려 두다/하게 두다”	형태 분석·접사 설명 교정
OD-0623	note	완료형; 주어=그들; 전치사 결합 접사=나에게/나를 위해	형태 분석·접사 설명 교정
OD-0643	note	미완료형; 주어=나; 목적어=그것(여성); 간접목적어=너에게	형태 분석·접사 설명 교정
OD-0652	note	고정 표현 3la balk; 접사=2인칭 단수; 의미 “너는 알고 있다”	형태 분석·접사 설명 교정
OD-0666	note	고정 부정 표현 ma 3la balich; 접사=1인칭 단수; 의미 “나는 모른다”	형태 분석·접사 설명 교정
OD-0671	note	미완료형; -i로 2인칭 여성 단수	형태 분석·접사 설명 교정
OD-0678	note	완료형; 주어=너(단수, 성별 문맥 의존); 목적어 접사=나를	형태 분석·접사 설명 교정
OD-0685	note	비동사적 필요 표현 khas-ni; 접사=1인칭 단수; 완료형·여성 주어 분석 아님	형태 분석·접사 설명 교정
OD-0690	note	완료형; 주어=그(3인칭 남성 단수); 목적어 접사=나를	형태 분석·접사 설명 교정
OD-0695	note	미완료형/명령형 여부는 원문 형태 태그 재확인 필요; -lek=너에게/너를 위해	형태 분석·접사 설명 교정
OD-0700	note	고정 표현 dakhlek; 2인칭 소유/관련 접사이며 “네가 무슨 상관이냐” 의미	형태 분석·접사 설명 교정
OD-0702	note	완료형; 주어=그(3인칭 남성 단수); 목적어 접사=나를	형태 분석·접사 설명 교정
OD-0715	note	mal-ki에서 -ki=2인칭 여성 단수	형태 분석·접사 설명 교정
OD-0718	note	접사 없음; 의문사 “무엇”	형태 분석·접사 설명 교정
OD-0729	note	inshallah 일부 표면형으로 보이며 동사 완료형·3인칭 남성 주어 분석 아님	형태 분석·접사 설명 교정
OD-0735	note	kira-ki에서 -ki=2인칭 여성 단수	형태 분석·접사 설명 교정
OD-0765	note	부정형 아님; 상태 인사 표현 “괜찮다/별일 없다”	형태 분석·접사 설명 교정
OD-0784	note	감사 인사 표현; 1인칭 소유·전치사 접사 분석 아님	형태 분석·접사 설명 교정
OD-0789	note	미완료형; 주어=그(3인칭 남성 단수)	형태 분석·접사 설명 교정
OD-0794	note	소유접사=3인칭 남성 단수만 해당	형태 분석·접사 설명 교정
OD-0808	note	ma- 부정+3andek(너에게 있다); 의미 “너에게 없다”	형태 분석·접사 설명 교정
OD-0813	note	3ich-na로 분석할 경우 소유접사=1인칭 복수; “우리의 삶”; nest 의미는 오분석	형태 분석·접사 설명 교정
OD-0815	note	미완료형; 주어=그; 어근 의미 “결혼하다”	형태 분석·접사 설명 교정
OD-0817	note	존재/상태 부정 ra-ki-sh; 주어=2인칭 여성 단수	형태 분석·접사 설명 교정
OD-0829	note	미완료형; fṭar=아침 식사를 하다	형태 분석·접사 설명 교정
OD-0835	note	전치사 f- + harira; “하리라 수프에/안에서”	형태 분석·접사 설명 교정
OD-0844	note	소유접사=3인칭 남성 단수; rw7u “그 자신”	형태 분석·접사 설명 교정
OD-0849	note	전치사 b- + jzayriya; “알제리식으로/알제리어로”	형태 분석·접사 설명 교정
OD-0861	note	미완료형; n-로 1인칭 단수	형태 분석·접사 설명 교정
OD-0872	note	미완료형; 주어=그것/그(3인칭 남성 단수)	형태 분석·접사 설명 교정
OD-0900	note	완료형 -t; 1인칭 단수 또는 2인칭 단수로 문맥 중의적, 3인칭 남성 아님	형태 분석·접사 설명 교정
OD-0905	note	미완료형 t-; 2인칭 남성 단수 또는 3인칭 여성 단수로 중의적	형태 분석·접사 설명 교정
OD-0913	note	명령형; -i로 2인칭 여성 단수	형태 분석·접사 설명 교정
OD-0918	note	ghadi + -sh 부정; 긍정 미래 “will”이 아니라 “will not”	형태 분석·접사 설명 교정
OD-0922	note	완료형; -et로 3인칭 여성 단수	형태 분석·접사 설명 교정
OD-0939	note	ra-ni-sh; 1인칭 단수 상태 부정	형태 분석·접사 설명 교정
OD-0950	note	소유접사=2인칭 단수	형태 분석·접사 설명 교정
OD-0960	note	완료형; 주어=나; 의미 “할 수 있었다”	형태 분석·접사 설명 교정
OD-0723	topic	people	품사·의미에 맞는 주제 분류
OD-0730	topic	people	품사·의미에 맞는 주제 분류
OD-0746	topic	people	품사·의미에 맞는 주제 분류
OD-0786	topic	people	품사·의미에 맞는 주제 분류
OD-0794	topic	people	품사·의미에 맞는 주제 분류
OD-0800	topic	people	품사·의미에 맞는 주제 분류
OD-0831	topic	abstract	품사·의미에 맞는 주제 분류
OD-0864	topic	people	품사·의미에 맞는 주제 분류
OD-0867	topic	abstract	품사·의미에 맞는 주제 분류
OD-0879	topic	people	품사·의미에 맞는 주제 분류
