"frequency"	"source_form"	"diac"	"msa"	"stem"	"proclitic"	"enclitic"	"num"	"gen"	"en_gloss"	"fr_gloss"	"token_id"	"sentence_id"
"8"	"الحمد"	"الحمد"	"حَمْد"	"حمد/GERUND"	"Al/DET"	""	"s"	"m"	"commendation,_praise"	"éloge,_louange"	"6742"	"344"
"8"	"دخلوا"	"دخلو"	"دَمَجَ"	"دخل/PV"	""	"و/PVSUFF_SUBJ:3MP"	"na"	"na"	"to_integrate"	"intégrer"	"25540"	"1164"
"8"	"ادي"	"ادي"	"أَدَّى"	"ادي/CV"	""	"(null)/CVSUFF_SUBJ :2MS"	"na"	"na"	"do"	"faire"	"14411"	"680"
"8"	"غاشي"	"غاشي"	"ناس"	"غاشي/NOUN"	""	""	"sp"	"m"	"people"	"gens"	"98"	"8"
"8"	"حمار"	"حمار"	"حِمَار"	"حمار/NOUN_CONCRETE"	""	"(null)/CASE_DEF_GEN"	"s"	"m"	"donkey"	"âne"	"22000"	"1019"
"8"	"ارواح"	"ارواح"	"تَعَال"	"ارواح/CV"	""	"(null)/CVSUFF_SUBJ :2MS"	"na"	"na"	""	"come,_let's"	"1456"	"72"
"7"	"تبعني"	"تبعني"	"اِتَبَعَ"	"تبع/CV"	""	"(null)/CVSUFF_SUBJ :2MS +ني/CVSUFF_DO :1S"	"na"	"na"	"follow"	"suivre"	"20739"	"955"
"7"	"تقوله"	"تقوله"	"قَال"	"قول/IV"	"t/IV3FS"	"(null)/IVSUFF_SUBJ: 3FS +ه/IVSUFF_DO:3MS"	"na"	"na"	"said"	"dire"	"1204"	"61"
"7"	"نسا"	"نساء"	"نِسَاء"	"نساء/NOUN_CONCRETE"	""	"(null)/CASE_DEF_GEN"	"cp"	"f"	"women"	"femmes"	"8652"	"409"
"7"	"مداري"	"مداري"	"بِالعَادة"	"داري/NOUN_ACTIVE_PART"	"m/PREP"	""	"s"	"m"	"usually"	"d'habitude"	"3094"	"177"
"7"	"بن"	"بن"	"ابْن"	"بن/NOUN_CONCRETE"	""	""	"s"	"m"	"son"	"fils"	"3409"	"197"
"7"	"تلات"	"تلات"	"ثلاث"	"تلات/NOUN_NUM"	""	""	"s"	"f"	"three"	"trois"	"17084"	"793"
"7"	"ماه"	"ماه"	"أُمّ"	"ما/NOUN_CONCRETE"	""	"ه/POSS_PRON"	"s"	"f"	"mother"	"mère"	"450"	"28"
"7"	"سيرتو"	"سيرتو"	"بالأَخَص"	"سيرتو/FOREIGN"	""	""	"na"	"na"	"especially"	"surtout"	"2829"	"152"
"7"	"ديتها"	"ديتها"	"أَخَدَ"	"دي/PV"	""	"ت/PVSUFF_SUBJ:1S+ها/PVSUFF_DO:3FS"	"na"	"na"	"take"	"prendre"	"165"	"12"
"7"	"نشاء"	"نشاء"	"إنشَاء"	"شاء/PV"	"n/OTHER"	"(null)/PVSUFF_SUBJ:3MS"	"na"	"na"	"god_willing"	"Si_Dieu_le_veut"	"3156"	"184"
"7"	"البنت"	"البنت"	"البِنت"	"بنت/NOUN_ABSTRACT"	"Al/DET"	""	"s"	"f"	"daughter"	"fille"	"21303"	"979"
"7"	"صح"	"صح"	"الأهم"	"صح/NOUN_ABSTRACT"	""	""	"s"	"m"	"most_important"	"le_plus_important"	"7587"	"371"
"7"	"صحاب"	"صحاب"	"أَصْحَاب"	"صحاب/GERUND"	""	"(null)/CASE_DEF_GEN"	"sp"	"m"	"friends"	"amis"	"1281"	"64"
"7"	"تليفون"	"تليفون"	"تِليِفُون"	"تليفون/NOUN_INSTRUMENT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	"telephone"	"telephone"	"713"	"39"
"7"	"ارواحي"	"ارواحي"	"تَعَالِي"	"ارواح/CV"	""	"ي/CVSUFF_SUBJ : 2FS"	"na"	"na"	"come"	"venir"	"3943"	"218"
"7"	"ماكان"	"ما_كان"	"كَانَ"	"كان/PV"	"mA/NEG_PART"	"(null)/PVSUFF_SUBJ:3MS"	"na"	"na"	"was_not_were-not"	"n'était_pas"	"2699"	"147"
"7"	"ألف"	"ألف"	"اَلْف"	"ألف/NOUN_NUM"	""	""	"cp"	"m"	""	"thousand"	"2008"	"94"
"7"	"تاعكم"	"تاعكم"	"لَكُم"	"تاع/PREP"	""	"كم/POSS_PRON"	"na"	"na"	"to_you"	"à_toi"	"5581"	"284"
"7"	"سمحيلي"	"سمحيلي"	"اعْذُرني"	"سمح/CV"	""	"ي/CVSUFF_SUBJ : 2FS+ل/PREP+ي/POSS_PRON"	"na"	"na"	"excuse_me"	"Excuse_moi"	"2795"	"151"
"7"	"نهدرو"	"نهدرو"	"أَتَكَلَم"	"هدر/IV"	"n/IV1P"	"و/IVSUFF_SUBJ:MP_MOOD:SJ"	"na"	"na"	"speak,talk"	"parler"	"11126"	"559"
"7"	"نقارع"	"نقارع"	"أنْتَظِر"	"قارع/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"wait"	"attendre"	"3065"	"174"
"7"	"تبيع"	"تبيع"	"باعَ"	"بيع/IV"	"t/IV2MS"	"(null)/IVSUFF_SUBJ : 2MS"	"na"	"na"	"sell"	"vendre"	"16618"	"774"
"7"	"يجو"	"يجو"	"يجيئون"	"ج/IV"	"y/IV3MP"	"و/IVSUFF_SUBJ:MP_MOOD:SJ"	"na"	"na"	"come"	"viens"	"675"	"37"
"7"	"فوته"	"فوته"	"تَجَاوَز"	"فوت/CV"	""	"(null)/IVSUFF_SUBJ : 2MS+ه/CVSUFF_DO :3MS"	"na"	"na"	"pass"	"dépasser"	"9586"	"440"
"7"	"تدي"	"تدي"	"تَاْخُد"	"دي/IV"	"t/IV3FS"	"(null)/IVSUFF_SUBJ: 3FS"	"na"	"na"	"take"	"prendre"	"8889"	"417"
"7"	"نار"	"نار"	"نَار"	"نار/NOUN_ABSTRACT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	"fire"	"Feu"	"1162"	"59"
"7"	"نقولها"	"نقولها"	"قَالَ"	"قول/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S+ها/PVSUFF_DO:3FS"	"s"	"m"	"say,tell"	"dire"	"2832"	"152"
"7"	"دوار"	"دوار"	"دُوَّار"	"دوار/NOUN_CONCRETE"	""	""	"s"	"m"	"circular"	"rond"	"8065"	"388"
"7"	"غاديش"	"غاديش"	"سَوفَ"	"غادي/FUT_PART"	""	"ش/NEG_PART"	"na"	"na"	"will"	"sera"	"7023"	"352"
"7"	"ملهيه"	"ملهيه"	"هٌنَاك"	"هيه/ADV"	"ml/PREP"	""	"s"	"m"	"from_there"	"de_là_bas"	"6771"	"344"
"7"	"دورو"	"دورو"	"دَارَ"	"دور/PV"	""	"و/PVSUFF_SUBJ:2MP"	"na"	"na"	"passing"	"passer"	"17061"	"791"
"7"	"نلبس"	"نلبس"	"لَبِس"	"لبس/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"wear"	"porter"	"11430"	"574"
"7"	"بوه"	"بوه"	"أَبُوه"	"بو/NOUN_FIVE"	""	"ه/POSS_PRON"	"s"	"m"	""	"father"	"448"	"28"
"7"	"مسلسل"	"مسلسل"	"مُسَلْسَل"	"مسلسل/NOUN_ABSTRACT"	""	""	"s"	"m"	"serial"	"serie"	"5038"	"264"
"7"	"بيك"	"بيك"	"بِكِي"	"بي/PREP"	""	"ك/POSS_PRON"	"na"	"na"	"with_you"	"avec_toi"	"765"	"42"
"7"	"قالتلها"	"قالتلها"	"قَالَ"	"قال/PV"	""	"ت/PV SUFF_SUBJ :3FS+ل/PREP+ها/POSS_PRON"	"na"	"na"	"said"	"dire"	"2206"	"101"
"7"	"ندخل"	"ندخل"	"دَخَل"	"دخل/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"enter"	"entrer"	"9172"	"425"
"7"	"وخداخور"	"وخداخور"	"وخُدآخَر"	"وخداخور/ADJ_QUALIT"	""	""	"s"	"m"	"other"	"autre"	"1640"	"79"
"7"	"عاد"	"عاد"	"حينَها"	"عاد/CONDITION_PART"	""	""	"na"	"na"	"then,_at_that_time"	"à_ce_moment-là"	"399"	"24"
"7"	"هود"	"هود"	"نَزَلَ"	"هود/PV"	""	"(null)/PV SUFF_SUBJ :3MS"	"na"	"na"	"descend,go"	"descendre,_aller"	"1612"	"78"
"7"	"لرض"	"لرض"	"أرْضٌ"	"لرض/NOUN_CONCRETE"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	"earth"	"terre"	"1451"	"72"
"7"	"جزايرية"	"جزايرية"	"جَزَائِرِي"	"جزاير/NOUN_RELATIVE"	""	"ي/RELATIVE_YA+ة/NSUFF_FEM_SG"	"s"	"f"	""	"algerian"	"2027"	"95"
"7"	"عايشة"	"عايشة"	"عائِش"	"عايش/NOUN"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"living;reside"	"vivre;_résider"	"209"	"13"
"7"	"قعدوا"	"قعدوا"	"قَعَدَ"	"قعد/PV"	""	"وا/PVSUFF_DO:3MP"	"na"	"na"	"keep"	"continuer"	"759"	"41"
"7"	"عارفة"	"عارفة"	"عَارِف"	"عارف/NOUN_ACTIVE_PART"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"knowing"	"connaître"	"2696"	"147"
"7"	"حساب"	"حساب"	"ظَنَّ"	"حساب/PV"	""	"(null)/PV SUFF_SUBJ :3MS"	"na"	"na"	"think"	"penser"	"1474"	"72"
"7"	"عبدقا"	"عبدقا"	"عبدالقادر"	"عبدقا/COMP_NOUN"	""	""	"s"	"m"	"abdelkader"	"Abdelkader"	"6269"	"328"
"7"	"كلب"	"كلب"	"كَلْب"	"كلب/NOUN_CONCRETE"	""	""	"s"	"m"	"dog"	"chien"	"19059"	"878"
"7"	"هديك"	"هديك"	"تِلكَ"	"هديك/DEM_PRON"	""	""	"s"	"f"	"that"	"celui"	"3313"	"194"
"7"	"لازم"	"لازم"	"لازِم"	"لازم/NOUN"	""	""	"s"	"m"	"necessary"	"nécessaire"	"362"	"22"
"7"	"عرب"	"عرب"	"عَرَب"	"عرب/NOUN_RELATIVE"	""	"(null)/CASE_INDEF_GEN"	"sp"	"m"	"Arabs"	"Arabes"	"11105"	"558"
"7"	"يروحوا"	"يروحوا"	"رَاحَ"	"روح/IV"	"y/IV3MP"	"وا/IVSUFF_SUBJ:MP_MOOD:SJ"	"na"	"na"	"go"	"va"	"8744"	"412"
"7"	"راجلي"	"راجلي"	"زَوْجِي"	"راجل/NOUN_ACTIVE_PART"	""	"ي/POSS_PRON"	"s"	"m"	"husband"	"mari"	"6146"	"322"
"7"	"قولي"	"قولي"	"قُولِي"	"قول/CV"	""	"ي/CVSUFF_SUBJ : 2FS"	"na"	"na"	"say;tell"	"dire"	"3145"	"182"
"7"	"المهم"	"المهم"	"الْمُهِمّ"	"مهم/NOUN_ABSTRACT"	"Al/DET"	""	"s"	"m"	"important"	"important"	"1159"	"59"
"7"	"ليا"	"ليا"	"لِي"	"ل/PREP"	""	"يا/POSS_PRON"	"na"	"na"	"to,_for_me"	"pour_moi"	"11728"	"586"
"7"	"طاح"	"طاح"	"وَقَعَ"	"طاح/PV"	""	"(null)/PV SUFF_SUBJ :3MS"	"na"	"na"	"fall_down,_take_place"	"tomber,_avoir_lieu"	"3836"	"213"
"7"	"ولاو"	"ولاو"	"اَصْبَحَ"	"ولا/PV"	""	"و/PVSUFF_SUBJ:3MP"	"na"	"na"	"become"	"devenir"	"25706"	"1167"
"7"	"جينا"	"جينا"	"جَاء"	"جي/PV"	""	"نا/PV SUFF_SUBJ :1P"	"na"	"na"	"come"	"venir"	"4278"	"233"
"7"	"وحده"	"وحده"	"وَحْدَه"	"وحد/NOUN_ABSTRACT"	""	"ه/POSS_PRON"	"s"	"m"	"alone"	"seul"	"10693"	"542"
"6"	"حالة"	"حالة"	"حَالَة"	"حال/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG+(null)/CASE_DEF_GEN"	"s"	"f"	"case"	"cas"	"5907"	"311"
"6"	"شاشرا"	"شاشرا"	"الأَوْلَاد"	"شاشرا/NOUN_ABSTRACT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"sp"	"m"	"boys"	"garçons"	"10939"	"551"
"6"	"شبانية"	"شبانية"	"عَجوزَة"	"شباني/NOUN"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"old_lady"	"vieille_dame"	"146"	"10"
"6"	"فليل"	"فليل"	"لَيْل"	"ليل/ADV"	"f/PREP"	""	"s"	"m"	"night;nighttime"	"la_nuit"	"5159"	"269"
"6"	"قلتلك"	"قلتلك"	"قالَ"	"قل/PV"	""	"ت/PVSUFF_SUBJ:1S+ل/PREP+ك/POSS_PRON"	"na"	"na"	"said"	"dis"	"21096"	"971"
"6"	"داري"	"داري"	"دَار"	"دار/NOUN_CONCRETE"	""	"ي/POSS_PRON"	"s"	"f"	"house,home"	"maison"	"2408"	"116"
"6"	"نحكيلكم"	"نحكيلكم"	"حَكَىِ"	"حكي/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S+ل/PREP+كم/POSS_PRON"	"na"	"na"	"report,tell"	"rapporter,dire"	"3865"	"214"
"6"	"حاي"	"حاي"	"ياالَهِي"	"حاي/INTERJ"	""	""	"na"	"na"	"oh_my_god"	"oh_mon_dieu"	"3407"	"197"
"6"	"تبرادي"	"تبرادي"	"ياويلي"	"تبرادي/INTERJ"	""	""	"s"	"m"	"oh_my_god_!"	"oh_mon_dieu"	"14305"	"676"
"6"	"تو"	"تو"	"كُل"	"تو/FOREIGN"	""	""	"na"	"na"	"all"	"tous"	"5942"	"312"
"6"	"حس"	"حس"	"الصَوت"	"حس/GERUND"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	"sound,voice"	"son,_voix"	"2885"	"155"
"6"	"سمحلي"	"سمحلي"	"سَمَحَ"	"سمح/CV"	""	"(null)/CVSUFF_SUBJ :2MS +ل/PREP+ي/POSS_PRON"	"na"	"na"	"forgive"	"pardonner"	"5744"	"292"
"6"	"حلوة"	"حلوة"	"مَرَضالسُكَرِي"	"حلو/ADJ_QUALIT"	""	"ة/NSUFF_FEM_SG+(null)/CASE_INDEF_(ACC_GEN)"	"s"	"f"	"diabetics"	"diabétique"	"22096"	"1027"
"6"	"غالية"	"غالية"	"غَالِي"	"غالي/NOUN_ACTIVE_PART"	""	"ة/NSUFF_FEM_SG"	"s"	"m"	"expensive"	"coûteux"	"13772"	"657"
"6"	"عطيها"	"عطيها"	"اُهْرُب"	"عطي/CV"	""	"(null)/CVSUFF_SUBJ :2MS +ها/CVSUFF_DO:3FS"	"na"	"na"	"run"	"courir"	"14544"	"684"
"6"	"نديها"	"نديها"	"أخَدَ"	"دي/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S+ها/IVSUFF_DO:3FS"	"na"	"na"	"take"	"prendre"	"377"	"23"
"6"	"دخلو"	"دخلو"	"دَخَّل"	"دخل/PV"	""	"و/PVSUFF_SUBJ:2MP"	"na"	"na"	"enter"	"entrer"	"1857"	"88"
"6"	"راس"	"راس"	"رَأْس"	"راس/NOUN_CONCRETE"	""	""	"s"	"m"	"head"	"tête"	"7487"	"368"
"6"	"فرحان"	"فرحان"	"فَرْحَان"	"فرحان/ADJ_QUALIT"	""	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"m"	""	"cheerful,_delighted"	"586"	"34"
"6"	"كبار"	"كبار"	"كَبِير"	"كبار/ADJ_QUALIT"	""	"(null)/CASE_DEF_NOM"	"bp"	"m"	"big"	"grand"	"3343"	"194"
"6"	"بوها"	"بوها"	"أَبُوها"	"بو/NOUN_FIVE"	""	"ها/POSS_PRON"	"s"	"m"	"father"	"père"	"9062"	"422"
"6"	"دخلت"	"دخلت"	"دَخَلَ"	"دخل/PV"	""	"ت/PVSUFF_SUBJ:1S"	"na"	"na"	"enter"	"entrer"	"235"	"15"
"6"	"فتيتة"	"فتيتة"	"قليلجدا"	"فتيت/NOUN_QUANT"	""	"ة/NSUFF_FEM_SG"	"na"	"na"	"very_little"	"très_peu"	"8189"	"393"
"6"	"فدار"	"فدار"	"الدَّارُ"	"دار/NOUN_CONCRETE"	"f/PREP"	"(null)/CASE_INDEF_(ACC_GEN)"	"s"	"f"	"house,home"	"maison"	"8333"	"399"
"6"	"قلتلها"	"قلت_لها"	"قَالَ"	"قل/PV"	""	"ت/PVSUFF_SUBJ:1S+ل/PREP+ها/PRON_3FS"	"na"	"na"	"said"	"dire"	"215"	"14"
"6"	"بيهم"	"بيهم"	"بِهُم"	"هم/PRON"	"by/PREP"	""	"na"	"na"	"with_them_[masc.pl.]"	"avec_eux_[masc.pl.]"	"12720"	"624"
"6"	"فاهم"	"فاهم"	"فَاهم"	"فاهم/NOUN_ACTIVE_PART"	""	""	"s"	"m"	"understandable"	"compréhensible"	"1394"	"70"
"6"	"نجيبلك"	"نجيبلك"	"أحضر"	"جيب/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S+ل/PREP+ك/POSS_PRON"	"na"	"na"	"bring"	"apporter"	"3077"	"175"
"6"	"شغل"	"شغل"	"مثلا"	"شغل/CONJ"	""	""	"s"	"m"	""	"like_,_such_as"	"9229"	"426"
"6"	"سردينا"	"سردينا"	"سردين"	"سردينا/FOREIGN"	""	""	"na"	"na"	"sardine"	"sardine"	"6970"	"351"
"6"	"تقد"	"تقد"	"اِسْتَطَاعَ"	"قد/IV"	"t/IV2MS"	"(null)/IVSUFF_SUBJ : 2MS"	"na"	"na"	"can"	"peut"	"5574"	"284"
"6"	"عارف"	"عارف"	"عَارِف"	"عارف/NOUN_ACTIVE_PART"	""	""	"na"	"na"	"know"	"savoir"	"15194"	"708"
"6"	"قرعة"	"قرعة"	"قَارُورَة"	"قرع/NOUN_CONCRETE"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"bottle"	"bouteille"	"1768"	"85"
"6"	"للجامعة"	"للجامعة"	"الجَامِعَة"	"جامع/NOUN_ACTIVE_PART"	"l/PREP+l/DET"	"ة/NSUFF_FEM_SG+(null)/CASE_DEF_GEN"	"s"	"f"	""	"Université;x;_university"	"3935"	"217"
"6"	"تلاقيت"	"تلاقيت"	"إِلتَقى"	"تلاقي/PV"	""	"ت/PVSUFF_SUBJ:1S"	"na"	"na"	"meet"	"rencontrer"	"112"	"8"
"6"	"طيب"	"طيب"	"تُطبَخعلىالنار"	"طيب/PV"	""	"(null)/PV SUFF_SUBJ :3FS"	"na"	"na"	"cook_on_fire"	"cuire_au_feu"	"7701"	"374"
"6"	"قراية"	"قراية"	"دِراسَة"	"قراي/NOUN_ABSTRACT"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"studies"	"études"	"3052"	"173"
"6"	"جامي"	"جامي"	"اَبَدًا"	"جامي/FOREIGN"	""	""	"na"	"na"	"never"	"jamais"	"3034"	"171"
"6"	"ديرها"	"ديرها"	"عَمِل"	"دير/CV"	""	"(null)/CVSUFF_SUBJ:2MS+ها/CVSUFF_DO:3FS"	"na"	"na"	""	"do"	"133"	"9"
"6"	"جابك"	"جابك"	"جَلَبَ"	"جاب/PV"	""	"(null)/PV SUFF_SUBJ :3MS+ك/PVSUFF_DO:2MS"	"na"	"na"	"bring"	"amener"	"767"	"42"
"6"	"عمره"	"عمره"	"عُمْر"	"عمر/NOUN_ABSTRACT"	""	"(null)/CASE_DEF_GEN+ه/POSS_PRON_3MS"	"s"	"m"	"life"	"vie"	"12785"	"625"
"6"	"لهم"	"لهم"	"لَ"	"هم/PRON"	"l/PREP"	""	"na"	"na"	"to,_for_+_them"	"à,_pour_eux"	"2326"	"109"
"6"	"لول"	"لول"	"أَوَّل"	"لول/NOUN_NUM"	""	""	"s"	"m"	"first"	"premier"	"6430"	"334"
"6"	"ماغديش"	"ماغديش"	"سَوفَ"	"غدي/FUTUR_PART"	"mA/NEG_PART"	"ش/NEG_PART"	"na"	"na"	"will"	"sera"	"4258"	"231"
"6"	"ليلة"	"ليلة"	"لَيْلَة"	"ليل/ADV"	""	"ة/NSUFF_FEM_SG+(null)/CASE_INDEF_GEN"	"s"	"f"	"night,_evening"	"nuit,_soirée"	"9016"	"421"
"6"	"مرت"	"مرت"	"{ِمْرَأَة"	"مر/NOUN_CONCRETE"	""	"ت/NSUFF_FEM_SG"	"s"	"f"	"wife"	"épouse"	"17617"	"812"
"6"	"كيراكي"	"كيراكي"	"كِيفحَالَكِي"	"را/PRESENT_PART"	"ky/INTERROG"	"كي/POSS_PRON"	"na"	"na"	"how_are_you_doing?"	"Comment_allez_vous?"	"2496"	"123"
"6"	"مرته"	"مرته"	"زَوْجَة"	"مر/NOUN_CONCRETE"	""	"ت/NSUFF_FEM_SG+ه/POSS_PRON"	"s"	"m"	"wife"	"épouse"	"1556"	"76"
"6"	"قارعي"	"قارعي"	"أنْتَظِر"	"قارع/CV"	""	"ي/CVSUFF_SUBJ : 2FS"	"na"	"na"	"wait"	"attendre"	"4340"	"236"
"6"	"علبالك"	"علبالك"	"تَعْرَف"	"بال/NOUN_ABSTRACT"	"El/PREP"	"ك/POSS_PRON"	"na"	"na"	"know"	"connaître"	"2975"	"164"
"6"	"حاسبة"	"حاسبة"	"ظَنَّ"	"حاسب/NOUN_ACTIVE_PART"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"think"	"penser"	"2094"	"96"
"6"	"خمس"	"خمس"	"خَمْس"	"خمس/NOUN_NUM"	""	"(null)/CASE_DEF_NOM"	"s"	"f"	"five"	"cinq"	"2132"	"98"
"6"	"تحوس"	"تحوس"	"تَبْحَث"	"حوس/IV"	"t/IV3FS"	"(null)/IVSUFF_SUBJ: 3FS"	"na"	"na"	"look_for"	"chercher"	"3928"	"217"
"6"	"روحت"	"روحت"	"ذَهَبَ"	"روح/PV"	""	"ت/PVSUFF_SUBJ:1S"	"na"	"na"	"go"	"partir"	"269"	"18"
"6"	"دنيا"	"دنيا"	"الدُّنْيَا]"	"دنيا/NOUN_ABSTRACT"	""	""	"s"	"f"	"world"	"monde"	"1413"	"70"
"6"	"فيكم"	"فيكم"	"فِيكْم"	"في/PREP"	""	"كم/POSS_PRON"	"na"	"na"	"in_you"	"en_vous"	"5733"	"291"
"6"	"منه"	"منه"	"مِن"	"من/PREP"	""	"ه/POSS_PRON"	"na"	"na"	"of"	"de"	"6436"	"334"
"6"	"دور"	"دور"	"تَمُر"	"دور/IV"	""	"(null)/IVSUFF_SUBJ: 3FS"	"s"	"m"	"pass"	"passer"	"650"	"37"
"6"	"سبحان"	"سبحان"	"سُبْحان"	"سبحان/NOUN_ABSTRACT"	""	""	"s"	"m"	""	"praise"	"579"	"33"
"6"	"ملايير"	"ملايير"	"مَلَايير"	"ملايير/NOUN_ABSTRACT"	""	""	"cp"	"m"	"billion"	"milliard"	"9614"	"441"
"6"	"حياتك"	"حياتك"	"حَيَاة"	"حيا/GERUND"	""	"ت/NSUFF_FEM_SG+ك/POSS_PRON"	"s"	"f"	"life"	"la_vie"	"6999"	"352"
"6"	"زينة"	"زينة"	"حَلاوة"	"زين/ADJ"	""	"ة/NSUFF_FEM_SG"	"s"	"f"	"sweetness"	"douceur"	"15567"	"723"
"6"	"دوروا"	"دورو"	"قِطْعَةنَقْدِية"	"دورو/FOREIGN"	""	""	"s"	"m"	"coin"	"pièce_de_monnaie"	"23881"	"1094"
"6"	"خاطرش"	"خاطرش"	"لأَنَّ"	"خاطرش/SUBJUNC_PART"	""	""	"na"	"na"	"because"	"parce_que"	"6714"	"343"
"6"	"لقا"	"لقا"	"لَقِيَ"	"لقا/PV"	""	"(null)/PV SUFF_SUBJ :3MS"	"na"	"na"	"find"	"trouve"	"1754"	"84"
"6"	"فاتت"	"فاتت"	"فات"	"فات/PV"	""	"ت/SUFF_FEM_TA"	"na"	"na"	"pass_by;go_by"	"passer"	"1148"	"59"
"6"	"متقدش"	"متقدش"	"اِسْتَطَاعَ"	"قد/IV"	"m/NEG_PART+t/IV2MS"	"(null)/IVSUFF_SUBJ : 2MS+ش/NEG_PART"	"na"	"na"	"can"	"peut"	"13153"	"636"
"6"	"النهار"	"النهار"	"النَهَار"	"نهار/NOUN_ABSTRACT"	"Al/DET"	""	"s"	"m"	"daytime_,during_the_day"	"un_jour,_pendant_la_journée"	"1607"	"78"
"6"	"أي"	"أي"	"يَا"	"أي/VOC_PART"	""	""	"na"	"na"	""	"O,_oh"	"11568"	"579"
"6"	"نعاود"	"نعاود"	"عَاوَدَ"	"عاود/IV"	"n/IV1S"	"(null)/IVSUFF_SUBJ:1S"	"na"	"na"	"repeat"	"répéter"	"2478"	"122"
"6"	"يشوف"	"يشوف"	"شاف"	"شوف/IV"	"y/IV3MS"	"(null)/IVSUFF_SUBJ: 3MS"	"na"	"na"	"look"	"voir"	"2491"	"122"
"6"	"الهدرة"	"الهدرة"	"الكَلام"	"هدر/NOUN_ABSTRACT"	"Al/DET"	"ة/NSUFF_FEM_SG"	"s"	"f"	"speech,_talking"	"discours,_parler"	"721"	"39"
"6"	"اسمعي"	"اسمعي"	"إسْمَعي"	"اسمع/CV"	""	"ي/CVSUFF_SUBJ : 2FS"	"na"	"na"	"listen"	"ecoute"	"15081"	"704"
"6"	"الحرب"	"الحرب"	"حَرْب"	"حرب/GERUND"	"Al/DET"	"(null)/CASE_DEF_GEN"	"s"	"m"	"war"	"guerre"	"6751"	"344"
"6"	"نوضي"	"نوضي"	"نَهَضَ"	"نوض/CV"	""	"ي/CVSUFF_SUBJ : 2FS"	"na"	"na"	"get_up"	"levé"	"15020"	"701"
"6"	"الجامعة"	"الجامعة"	"جَامِعَة"	"جامع/NOUN_CONCRETE"	"Al/DET"	"ة/NSUFF_FEM_SG"	"s"	"f"	"university"	"Université"	"6523"	"337"
"6"	"الواد"	"الواد"	"وَادِي"	"واد/NOUN_CONCRETE"	"Al/DET"	""	"s"	"m"	"valley"	"vallée"	"9679"	"446"
"6"	"ايه"	"ايه"	"نَعَم"	"ايه/YES_NO_RESP_PART"	""	""	"na"	"na"	"yes"	"oui"	"3947"	"218"
"6"	"نكملو"	"نكملو"	"أَكْمَل"	"كمل/IV"	"n/IV1P"	"و/IVSUFF_SUBJ:MP_MOOD:SJ"	"na"	"na"	"finish"	"finir"	"7874"	"382"
"6"	"هادوك"	"هادوك"	"أولئك"	"هاد/DEM_PRON"	""	"وك/POSS_PRON"	"sp"	"m"	"those"	"ceux"	"4927"	"260"
"6"	"احنا"	"احنا"	"نَحْنُ"	"احنا/PRON"	""	""	"sp"	"m"	""	"we;us"	"21134"	"973"
"6"	"اوك"	"اوك"	"حسنًا"	"اوك/INTERJ"	""	""	"na"	"na"	"okey"	"ok"	"5857"	"307"
"6"	"بنتك"	"بنتك"	"بَنتك"	"بنت/NOUN_ABSTRACT"	""	"ك/POSS_PRON"	"s"	"f"	"daughter"	"fille"	"7224"	"360"
"6"	"هاداك"	"هاداك"	"ذَلِك"	"هاداك/DEM_PRON"	""	""	"s"	"m"	"that_[masc.sg.]"	"ce"	"16379"	"763"
"6"	"بارك"	"بارك"	"مَصَفسيارات"	"بارك/FOREIGN"	""	""	"na"	"na"	"parking"	"parking"	"8493"	"404"
"6"	"اسكتي"	"اسكتي"	"اُسْكُتِي"	"اسكت/CV"	""	"ي/CVSUFF_SUBJ : 2FS"	"na"	"na"	"shut_up"	"tais-toi"	"6299"	"329"
"6"	"ياضرا"	"ياضرا"	"ياترى"	"ياضرا/INTERJ"	""	""	"na"	"na"	"I_wonder_if"	"je_me_demande_si"	"275"	"18"
"6"	"وصلنا"	"وصلنا"	"وَصَلَ"	"وصل/PV"	""	"نا/PVSUFF_SUBJ:1P"	"sp"	"m"	""	"arrivé_à_;reach_at"	"70"	"6"
